"distribution","n","sm","hd","thd.sqrt"
"Student(df=3)",19,0.47017,0.40937,0.42102
"Student(df=3)",20,0.42893,0.41195,0.42973
"Student(df=3)",21,0.44601,0.39317,0.42209
"Student(df=3)",22,0.40853,0.38917,0.40955
"Student(df=3)",23,0.43292,0.39956,0.41287
"Student(df=3)",24,0.4089,0.39717,0.40215
"Student(df=3)",25,0.41145,0.36606,0.3869
"Student(df=3)",26,0.36417,0.34365,0.35813
"Student(df=3)",27,0.38111,0.33717,0.35267
"Student(df=3)",28,0.34415,0.33342,0.34077
"Student(df=3)",29,0.36991,0.34534,0.35787
"Student(df=3)",30,0.37315,0.34806,0.36451
"Student(df=3)",31,0.37582,0.31956,0.34477
"Student(df=3)",32,0.3357,0.32204,0.32643
"Student(df=3)",33,0.34919,0.3187,0.32775
"Student(df=3)",34,0.33225,0.31635,0.33319
"Student(df=3)",35,0.3498,0.3294,0.34465
"Student(df=3)",36,0.3579,0.33414,0.33372
"Student(df=3)",37,0.31408,0.29381,0.29891
"Student(df=3)",38,0.30638,0.29238,0.29751
"Student(df=3)",39,0.31986,0.30012,0.30146
"Student(df=3)",40,0.29678,0.27898,0.28805
"Student(df=3)",41,0.2956,0.27499,0.28045
"Student(df=3)",42,0.2969,0.2821,0.28828
"Student(df=3)",43,0.29675,0.27238,0.28366
"Student(df=3)",44,0.30675,0.28288,0.29637
"Student(df=3)",45,0.35225,0.3005,0.31712
"Student(df=3)",46,0.2941,0.27381,0.28035
"Student(df=3)",47,0.29048,0.28095,0.2822
"Student(df=3)",48,0.29473,0.27057,0.27216
"Student(df=3)",49,0.28267,0.25757,0.269
"Student(df=3)",50,0.27856,0.25515,0.26301
"Gumbel(loc=0, scale=1)",5,0.93423,0.76304,0.82848
"Gumbel(loc=0, scale=1)",6,0.68719,0.63194,0.66223
"Gumbel(loc=0, scale=1)",7,0.74733,0.65646,0.69063
"Gumbel(loc=0, scale=1)",8,0.6703,0.59863,0.64119
"Gumbel(loc=0, scale=1)",9,0.68865,0.56491,0.62464
"Gumbel(loc=0, scale=1)",10,0.58172,0.52702,0.54916
"Gumbel(loc=0, scale=1)",11,0.56205,0.51085,0.54161
"Gumbel(loc=0, scale=1)",12,0.59728,0.53982,0.55926
"Gumbel(loc=0, scale=1)",13,0.5534,0.46677,0.48603
"Gumbel(loc=0, scale=1)",14,0.48663,0.41286,0.44904
"Gumbel(loc=0, scale=1)",15,0.54043,0.44982,0.48558
"Gumbel(loc=0, scale=1)",16,0.49232,0.43313,0.46592
"Gumbel(loc=0, scale=1)",17,0.49332,0.41389,0.43986
"Gumbel(loc=0, scale=1)",18,0.4326,0.39918,0.41321
"Gumbel(loc=0, scale=1)",19,0.44297,0.38526,0.38675
"Gumbel(loc=0, scale=1)",20,0.43081,0.38166,0.40932
"Gumbel(loc=0, scale=1)",21,0.4196,0.3668,0.3809
"Gumbel(loc=0, scale=1)",22,0.41824,0.38091,0.40846
"Gumbel(loc=0, scale=1)",23,0.40843,0.36916,0.38083
"Gumbel(loc=0, scale=1)",24,0.39789,0.36609,0.3906
"Gumbel(loc=0, scale=1)",25,0.41035,0.35293,0.36996
"Gumbel(loc=0, scale=1)",26,0.37036,0.33817,0.36256
"Gumbel(loc=0, scale=1)",27,0.35339,0.31667,0.33418
"Gumbel(loc=0, scale=1)",28,0.37272,0.35191,0.36669
"Gumbel(loc=0, scale=1)",29,0.35608,0.33175,0.34353
"Gumbel(loc=0, scale=1)",30,0.35552,0.32361,0.34117
"Gumbel(loc=0, scale=1)",31,0.33973,0.30757,0.32223
"Gumbel(loc=0, scale=1)",32,0.31566,0.2922,0.29786
"Gumbel(loc=0, scale=1)",33,0.34083,0.31759,0.32396
"Gumbel(loc=0, scale=1)",34,0.31218,0.28103,0.29452
"Gumbel(loc=0, scale=1)",35,0.33181,0.30285,0.31666
"Gumbel(loc=0, scale=1)",36,0.29472,0.28209,0.29066
"Gumbel(loc=0, scale=1)",37,0.30604,0.2776,0.28753
"Gumbel(loc=0, scale=1)",38,0.31304,0.28242,0.29107
"Gumbel(loc=0, scale=1)",39,0.28649,0.27493,0.2729
"Gumbel(loc=0, scale=1)",40,0.2978,0.27654,0.2884
"Gumbel(loc=0, scale=1)",41,0.29391,0.27077,0.28303
"Gumbel(loc=0, scale=1)",42,0.28139,0.2654,0.28128
"Gumbel(loc=0, scale=1)",43,0.30351,0.27862,0.29048
"Gumbel(loc=0, scale=1)",44,0.29337,0.27445,0.28892
"Gumbel(loc=0, scale=1)",45,0.26655,0.25077,0.25916
"Gumbel(loc=0, scale=1)",46,0.292,0.27816,0.2837
"Gumbel(loc=0, scale=1)",47,0.27028,0.23966,0.25337
"Gumbel(loc=0, scale=1)",48,0.25891,0.23993,0.24886
"Gumbel(loc=0, scale=1)",49,0.27806,0.26447,0.2764
"Gumbel(loc=0, scale=1)",50,0.26328,0.24123,0.25
"Exp(rate=1)",5,0.629,0.54177,0.5576
"Exp(rate=1)",6,0.53903,0.53946,0.54453
"Exp(rate=1)",7,0.49534,0.50242,0.51273
"Exp(rate=1)",8,0.4938,0.46375,0.47443
"Exp(rate=1)",9,0.48825,0.42783,0.43614
"Exp(rate=1)",10,0.42975,0.40195,0.41299
"Exp(rate=1)",11,0.42949,0.39103,0.40697
"Exp(rate=1)",12,0.39288,0.37128,0.38332
"Exp(rate=1)",13,0.37215,0.31921,0.32296
"Exp(rate=1)",14,0.3706,0.36055,0.36227
"Exp(rate=1)",15,0.36355,0.34939,0.34101
"Exp(rate=1)",16,0.34575,0.31903,0.33201
